ID,Fecha_Hora,Etiqueta,Archivo_WAV,Archivo_PNG,Duracion_s,Amplitud_Pico,Promedio_RMS,Diagnostico
1,2026-08-26 14:26:39,mi_voz,dataset\wavs\mi_voz_001.wav,dataset\plots\mi_voz_001.png,2,2089,724,OK
2,2026-08-26 14:27:59,mi_voz,dataset\wavs\mi_voz_002.wav,dataset\plots\mi_voz_002.png,2,2997,718,OK
3,2026-08-26 14:28:02,mi_voz,dataset\wavs\mi_voz_003.wav,dataset\plots\mi_voz_003.png,2,4212,1504,OK
4,2026-08-26 14:28:05,mi_voz,dataset\wavs\mi_voz_004.wav,dataset\plots\mi_voz_004.png,2,7146,1756,OK
5,2026-08-26 14:28:07,mi_voz,dataset\wavs\mi_voz_005.wav,dataset\plots\mi_voz_005.png,2,3741,1391,OK
6,2026-08-26 14:35:47,mi_voz,dataset\wavs\mi_voz_006.wav,dataset\plots\mi_voz_006.png,2,32767,13870,OK
7,2026-08-28 17:17:13,mi_voz,dataset\wavs\mi_voz_007.wav,dataset\plots\mi_voz_007.png,2,0,0,Débil
8,2026-08-28 17:17:47,mi_voz,dataset\wavs\mi_voz_008.wav,dataset\plots\mi_voz_008.png,2,0,0,Débil
9,2026-08-28 17:19:15,mi_voz,dataset\wavs\mi_voz_009.wav,dataset\plots\mi_voz_009.png,2,32763,14419,OK
10,2026-08-28 17:20:17,mi_voz,dataset\wavs\mi_voz_010.wav,dataset\plots\mi_voz_010.png,2,32749,13353,OK
11,2026-08-28 19:23:33,mi_voz,dataset\wavs\mi_voz_011.wav,dataset\plots\mi_voz_011.png,2,32765,12147,OK
12,2026-08-28 19:23:57,mi_voz,dataset\wavs\mi_voz_012.wav,dataset\plots\mi_voz_012.png,2,14480,3201,OK
13,2026-08-28 19:24:12,mi_voz,dataset\wavs\mi_voz_013.wav,dataset\plots\mi_voz_013.png,2,13327,2472,OK
14,2026-09-02 12:18:21,mi_voz,dataset\wavs\mi_voz_014.wav,dataset\plots\mi_voz_014.png,2,13330,3392,OK
15,2026-09-02 12:18:42,mi_voz,dataset\wavs\mi_voz_015.wav,dataset\plots\mi_voz_015.png,2,15697,2916,OK
16,2026-09-02 12:19:22,mi_voz,dataset\wavs\mi_voz_016.wav,dataset\plots\mi_voz_016.png,2,14572,2749,OK
17,2026-09-02 12:19:26,mi_voz,dataset\wavs\mi_voz_017.wav,dataset\plots\mi_voz_017.png,2,19632,3147,OK
